
[32] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[43] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[54] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[65] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[76] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[87] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[98] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[109] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[120] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[131] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[142] Heap free: 337.52 KB, PSRAM free: 4.00 MB
[153] Heap free: 337.52 KB, PSRAM free: 4.00 MB
